Name,Known Category
ActivateContract,userPermissions
AllowEmailIC,userPermissions
ApiEnabled,userPermissions
ApiUserOnly,userPermissions
ApproveContract,userPermissions
AssignTopics,userPermissions
AuthorApex,userPermissions
BulkApiHardDelete,userPermissions
CanUseNewDashboardBuilder,userPermissions
ConnectOrgToEnvironmentHub,userPermissions
ContentAdministrator,userPermissions
ConvertLeads,userPermissions
CreateCustomizeFilters,userPermissions
CreatePackaging,userPermissions
CreateTopics,userPermissions
CreateWorkspaces,userPermissions
CustomizeApplication,userPermissions
DataExport,userPermissions
DeleteActivatedContract,userPermissions
DeleteTopics,userPermissions
DistributeFromPersWksp,userPermissions
EditBrandTemplates,userPermissions
EditCaseComments,userPermissions
EditEvent,userPermissions
EditHtmlTemplates,userPermissions
EditOppLineItemUnitPrice,userPermissions
EditOwnQuota,userPermissions
EditPublicDocuments,userPermissions
EditPublicFilters,userPermissions
EditPublicReports,userPermissions
EditPublicTemplates,userPermissions
EditReadonlyFields,userPermissions
EditReports,userPermissions
EditTask,userPermissions
EditTopics,userPermissions
EmailMass,userPermissions
EmailSingle,userPermissions
EnableNotifications,userPermissions
ExportReport,userPermissions
ForceTwoFactor,userPermissions
IdentityEnabled,userPermissions
ImportLeads,userPermissions
ImportPersonal,userPermissions
InboundMigrationToolsUser,userPermissions
InstallPackaging,userPermissions
IsSsoEnabled,userPermissions
ManageAnalyticSnapshots,userPermissions
ManageAuthProviders,userPermissions
ManageBusinessHourHolidays,userPermissions
ManageCallCenters,userPermissions
ManageCases,userPermissions
ManageCategories,userPermissions
ManageContentPermissions,userPermissions
ManageContentProperties,userPermissions
ManageContentTypes,userPermissions
ManageCssUsers,userPermissions
ManageCustomReportTypes,userPermissions
ManageDashboards,userPermissions
ManageDataCategories,userPermissions
ManageDataIntegrations,userPermissions
ManageDynamicDashboards,userPermissions
ManageEmailClientConfig,userPermissions
ManageInteraction,userPermissions
ManageLeads,userPermissions
ManageMobile,userPermissions
ManagePackageLicenses,userPermissions
ManageRemoteAccess,userPermissions
ManageSelfService,userPermissions
ManageSolutions,userPermissions
ManageUsers,userPermissions
MassInlineEdit,userPermissions
ModifyAllData,userPermissions
NewReportBuilder,userPermissions
OutboundMigrationToolsUser,userPermissions
OverrideForecasts,userPermissions
PasswordNeverExpires,userPermissions
PublishPackaging,userPermissions
ResetPasswords,userPermissions
RunFlow,userPermissions
RunReports,userPermissions
ScheduleJob,userPermissions
ScheduleReports,userPermissions
SendSitRequests,userPermissions
SolutionImport,userPermissions
TransferAnyCase,userPermissions
TransferAnyLead,userPermissions
TransferAnyEntity,userPermissions
TwoFactorApi,userPermissions
UseTeamReassignWizards,userPermissions
ViewAllData,userPermissions
ViewAllForecasts,userPermissions
ViewDataCategories,userPermissions
ViewEncryptedData,userPermissions
ViewMyTeamsDashboards,userPermissions
ViewSetup,userPermissions
standard-Account,CustomTab
standard-AdvForecast,CustomTab
standard-AppLauncher,CustomTab
standard-Campaign,CustomTab
standard-Case,CustomTab
standard-Console,CustomTab
standard-Contact,CustomTab
standard-ContentSearch,CustomTab
standard-ContentSubscriptions,CustomTab
standard-Contract,CustomTab
standard-Document,CustomTab
standard-Idea,CustomTab
standard-JigsawSearch,CustomTab
standard-Lead,CustomTab
standard-Opportunity,CustomTab
standard-Portal,CustomTab
standard-Pricebook2,CustomTab
standard-Product2,CustomTab
standard-Solution,CustomTab
standard-Workspace,CustomTab
